text,domain,regulation_id,doc_type,document,chapter,section,article,breadcrumb,title,has_reference,id
"Article 1.4.3 > Clause 1.4.3 — MPDB trolley instrumentation
Table
| | Location | | | Parameter | | | CAC | |
|---|---|---|---|---|---|---|---|---|
| Sled | | | Acceleration, A
x | | | 150g | | |
| Driver seatbelt shoulder and lap* sections | | | Force, F F
diagonal, lap | | | 16kN | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.4.3,Article 1.4.3 > Clause 1.4.3 — MPDB trolley instrumentation,Table (p.8),False,5147b0bb-63ed-4509-bf94-e2fd36dd9ce9
"Article 1.4.4 > Clause 1.4.4 — Sled instrumentation
Location Parameter CAC Sled Acceleration, A x 150g Driver seatbelt shoulder and lap* sections Force, F diagonal, F lap 16kN * Care must be taken to position the lap belt transducer outboard of the dummy so that it does not interfere with the dummy/interior during the impact. Filming and photography Filming and photography requirements are detailed in Technical Bulletin CP 003. Euro NCAP Version 1.1 — September 2025 5 2 TEST CONDITIONS VUT preparation In advance of test preparation, the OEM shall provide Euro NCAP and the test laboratory with the information detailed in Technical Bulletin CP 002. Prepare the vehicle as defined in Technical Bulletin CP 004 and perform pretest intrusion measurements. Occupant compartment adjustments Position the seats as detailed below. Adjustments not listed will be set to mid positions or the nearest position rearward, lowest or outboard. Adjustments are to be made following the order in each table. Where specific settings are NOT indicated for either the driver or passenger, the same MDP and setting must be used for all occupants. For seat movement definitions, see CP 001.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.4.4,Article 1.4.4 > Clause 1.4.4 — Sled instrumentation,Sled instrumentation,False,a982c158-3a9e-454a-a757-e8ccee2216ac
"Article 1.4.4 > Clause 1.4.4 — Sled instrumentation
Table
| | | | | | |
|---|---|---|---|---|---|
| | Adjustment | | | Required setting – Hybrid III | |
| | | | | | |
| Fore/aft | | | Driver - MDP permissible between fully forward and 25% of travel,
measured in lowest position otherwise fully forwards
Front passenger - Mid position between fully forward and 95th
otherwise first notch rearwards, measured in lowest position | | |
| | Front seat cushion tilt | | MDP permissible up to mid, otherwise mid. | | |
| Front seat height | | | MDP permissible between fully upward and 75% travel downwards,
when in 5th percentile fore/aft position, otherwise mid. | | |
| Front seat torso angle | | | MDP otherwise 25° torso angle | | |
| Front seat lumbar support | | | Fully retracted | | |
| | Front seat cushion length | | Fully retracted | | |
| Front head restraint | | | Fore/aft or tilt - MDP, otherwise mid position.
Height - Lowest position. | | |
| | Front seat belt anchorage | | Lowest | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.4.4,Article 1.4.4 > Clause 1.4.4 — Sled instrumentation,Table (p.9),False,d3795da7-54c9-4fda-9b0f-f74005f554d1
"Article 2.2.1 > Clause 2.2.1 — 5 th percentile occupants
Adjustment Required setting – Hybrid III Fore/aft Driver - MDP permissible between fully forward and 25% of travel, measured in lowest position otherwise fully forwards Front passenger - Mid position between fully forward and 95 th otherwise first notch rearwards, measured in lowest position Front seat cushion tilt MDP permissible up to mid, otherwise mid. Front seat height MDP permissible between fully upward and 75% travel downwards, when in 5 th percentile fore/aft position, otherwise mid. Front seat torso angle MDP otherwise 25° torso angle Front seat lumbar support Fully retracted Front seat cushion length Fully retracted Front head restraint Fore/aft or tilt - MDP, otherwise mid position. Height - Lowest position. Front seat belt anchorage Lowest Euro NCAP Version 1.1 — September 2025 6",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.2.1,Article 2.2.1 > Clause 2.2.1 — 5 th percentile occupants,5 th percentile occupants,False,fa791d46-36a5-47a7-9880-d2e9318ae758
"Article 2.2.1 > Clause 2.2.1 — 5 th percentile occupants
Table
| | | | | | |
|---|---|---|---|---|---|
| | Adjustment | | | Required setting – THOR and Hybrid III | |
| | | | | | |
| Fore/aft | | | Mid position between fully forward and 95th otherwise first notch
rearwards, measured in lowest position. | | |
| Front seat cushion tilt | | | MDP permissible up to mid, otherwise mid | | |
| Front seat height | | | Lowest position | | |
| Front seat torso angle | | | MDP otherwise 25° torso angle | | |
| Front seat lumbar support | | | Fully retracted | | |
| Front seat cushion length | | | Fully retracted | | |
| Front head restraint | | | Height: Mid position
Fore/aft or tilt: Mid position | | |
| | Front seat belt anchorage | | MDP otherwise mid | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.2.1,Article 2.2.1 > Clause 2.2.1 — 5 th percentile occupants,Table (p.10),False,a99ff416-19da-461a-a8b6-faf60f996cfa
"Article 2.2.3 > Clause 2.2.3 — 95 th percentile occupants
Table
| | | | | | |
|---|---|---|---|---|---|
| | Adjustment | | | Required setting | |
| | | | | | |
| | Rear seat facing | | Forwards | | |
| Rear seat lateral position | | | Most outboard | | |
| Rear seat fore/aft | | | Rearmost | | |
| Rear seat cushion tilt | | | MDP up to mid position, otherwise mid | | |
| Rear seat height | | | MDP up to mid position, otherwise lowest | | |
| Rear seat back angle | | | MDP, otherwise 25° torso angle | | |
| Rear seat lumbar support | | | Fully retracted | | |
| | Rear seat cushion length | | Fully retracted | | |
| Rear head restraint | | | Fore/aft or tilt - MDP, otherwise mid
Height - Lowest in use
Remove if the vehicle handbook allows for CRS use. | | |
| | Rear seat belt anchorage | | MDP per stature, otherwise mid | | |",injury,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.2.3,Article 2.2.3 > Clause 2.2.3 — 95 th percentile occupants,Table (p.11),False,ab3f95e7-0851-4f08-a99e-d9317fe9d3ba
"Article 2.2.3 > Clause 2.2.3 — 95 th percentile occupants
Table
| | | | | | |
|---|---|---|---|---|---|
| | Other settings | | | Required setting | |
| | | | | | |
| Steering wheel | | | 5th percentile – MDP otherwise mid vertical and horizontal with a
minimum horizontal distance to the dummy of 250mm measured from
the centre of the steering wheel.
50th percentile - mid vertical and horizontal
95th percentile – MDP otherwise mid vertical and horizontal | | |
| Arm-rests – front and rear
seats | | | Adjustable arm-rests on the seat back will have them positioned in the
‘not in use’ position. This position is to avoid interference with view of
the pelvis. The arm rest may be fixed to avoid movement during the test.
Adjustable arm rests as part of the centre console will have them
positioned fully down and fully retracted. The lid of any arm rest/storage
compartment shall be closed. | | |
| Side window glazing | | | Front – lowered.
Rear - lowered or removed | | |
| Gear change lever | | | In the neutral position | | |
| Parking brake | | | Disengaged | | |
| Pedals | | | Normal position of rest or MDP for adjustable pedals | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.2.3,Article 2.2.3 > Clause 2.2.3 — 95 th percentile occupants,Table (p.11),False,1d5156a1-3b07-4c1b-a6a9-552299456653
"Article 2.2.4 > Clause 2.2.4 — Rear seats
The rear seat settings must be the same for MPDB, FWDB and AE-MDB. Adjustment Required setting Rear seat facing Forwards Rear seat lateral position Most outboard Rear seat fore/aft Rearmost Rear seat cushion tilt MDP up to mid position, otherwise mid Rear seat height MDP up to mid position, otherwise lowest Rear seat back angle MDP, otherwise 25° torso angle Rear seat lumbar support Fully retracted Rear seat cushion length Fully retracted Rear head restraint Fore/aft or tilt - MDP, otherwise mid Height - Lowest in use Remove if the vehicle handbook allows for CRS use. Rear seat belt anchorage MDP per stature, otherwise mid",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.2.4,Article 2.2.4 > Clause 2.2.4 — Rear seats,Rear seats,False,8e922479-d02f-4423-b314-a804898ace47
"Article 2.2.5 > Clause 2.2.5 — Other settings
Other settings Required setting Steering wheel 5 th percentile – MDP otherwise mid vertical and horizontal with a minimum horizontal distance to the dummy of 250mm measured from the centre of the steering wheel. 50 th percentile - mid vertical and horizontal 95 th percentile – MDP otherwise mid vertical and horizontal Arm-rests – front and rear seats Adjustable arm-rests on the seat back will have them positioned in the ‘not in use’ position. This position is to avoid interference with view of the pelvis. The arm rest may be fixed to avoid movement during the test. Adjustable arm rests as part of the centre console will have them positioned fully down and fully retracted. The lid of any arm rest/storage compartment shall be closed. Side window glazing Front – lowered. Rear - lowered or removed Gear change lever In the neutral position Parking brake Disengaged Pedals Normal position of rest or MDP for adjustable pedals Euro NCAP Version 1.1 — September 2025 8 Other settings Required setting Doors Closed. Rear child locks disengaged. See Post Crash protocol for ADL requirements. Roof Lowered / stowed Sunroof Open or removed Sun visors Stowed Rear view mirror Normal position of use Front passenger airbag Enabled – Vehicles equipped with automatic restraint system (e.g. airbag/pretensioner) disabling and default OFF may require specific actions enable the airbag. Adult dummy positioning It is the intention that the dummy is not left to sit directly on the seat for more than 2 hours prior to the test. It is acceptable for the dummy to be left in the vehicle for a longer period, provided that the dummy position is checked no more than one hour prior to test. Measure the location of the H-point manikin for the relevant size occupant, 5 th , 50 th , and 95 th percentile occupants using the procedure defined in Addendum 6 of M.R.1. When setting the seat position for the 5 th percentile female H-point measurement, use the procedure and formula defined in UN ECE R137, Annex 5, Section 3. However, when following the manikin installation procedure, do NOT install either the T-bar or the legs. Once a dummy has been correctly positioned record the measurements defined in the relevant dummy stature Technical Bulletin.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.2.5,Article 2.2.5 > Clause 2.2.5 — Other settings,Other settings,False,b2e34ce1-24a7-4141-ab73-307d90cc267c
"Article 2.2.5 > Clause 2.2.5 — Other settings
Table
| | | | | | |
|---|---|---|---|---|---|
| | Other settings | | | Required setting | |
| | | | | | |
| Doors | | | Closed. Rear child locks disengaged.
See Post Crash protocol for ADL requirements. | | |
| Roof | | | Lowered / stowed | | |
| Sunroof | | | Open or removed | | |
| Sun visors | | | Stowed | | |
| Rear view mirror | | | Normal position of use | | |
| Front passenger airbag | | | Enabled – Vehicles equipped with automatic restraint system (e.g.
airbag/pretensioner) disabling and default OFF may require specific
actions enable the airbag. | | |",injury,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.2.5,Article 2.2.5 > Clause 2.2.5 — Other settings,Table (p.12),False,0e0ff849-f64c-486a-a244-6c20e5c68a75
"Article 2.3.1 > Clause 2.3.1 — Dummy Placement
If, after dummy positioning, the vehicle is moved or a test run is aborted ensure that the dummy has not moved from the intended pretest position. If there are difficulties with positioning of any dummy, the H-point location shall be the priority followed by the pelvic angle and then the torso angle. The seat settings shall not be adjusted for dummy positioning unless specifically permitted in the dummy’s positioning p ocedu e. If the dummy cannot be positioned within the specified tolerances after three attempts, then it is to be placed as close to the tolerance limits as possible. Record all settings detailed in the table below and those which were not within tolerance. Whe e inte ction occu s between the e p ssenge nd the f ont p ssenge ’s se t before test, the full width test shall be performed with the rear passenger seated behind the driver. Euro NCAP Version 1.1 — September 2025 9",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.3.1,Article 2.3.1 > Clause 2.3.1 — Dummy Placement,Dummy Placement,False,20cf8424-5e07-431b-bbae-d72b91698aa8
"Article 2.3.1 > Clause 2.3.1 — Dummy Placement
Table
| | | | | | |
|---|---|---|---|---|---|
| | Dummy part | | | Required setting | |
| | | | | | |
| H-point | | | Within a square of ±13mm in X and Z of the manikin H-point of the 5th percentile,
with a point 6 mm below the position of the H-point determined using the
procedure described in Addendum 6 of M.R.1. | | |
| Pelvic angle | | | 20° ±2.5° from the horizontal.
Rear passenger - If a 20° ±2.5° pelvic angle cannot be achieved, use the design
torso angle as a reference value. | | |
| Torso angle | | | Dummy’s back in contact with the seat back and the dummy centreline aligned
with that of the seatback. | | |
| Head | | | The transverse instrumentation platform horizontal to within ±2.5°. Levelling of the
head shall be carried out in this order:
− Adjust the H-point within the limits
− Adjust the pelvic angle within the limits
− Adjust the neck bracket the minimum to ensure that the transverse
instrumentation platform is level within limits.
If there is contact between the head restraint and head that does not result in
forwards movement of the CoG, do not adjust head restraint. If the head is pushed
forwards by the head restraint, firstly move the head restraint rearwards in X, then
in Z if required. If there is still interference and no further adjustment of the head
restraint is possible continue with the test. | | |
| Upper arms | | | Driver - Adjacent to the torso as far as is possible
Passenger front & rear - Positioned in contact with the seatback. | | |
| Hands | | | Driver - Palms placed against the steering wheel at a position of a quarter to three.
The thumbs should be lightly taped to the steering wheel, where applicable, for
the test.
Passenger front - Palms in contact with the outside of the legs and the little finger
in contact with the seat cushion.
Passenger rear - The forearms and the hands shall be positioned as close as
possible to the outer sides of the thighs while the little fingers are lightly in contact
with the seat cushion. If there is interference by trim or other interior parts, the
interfered upper limb shall be placed on the armrest of the same side to avoid any
interference. | | |
| Legs | | | Femurs shall be in contact with the seat cushion as far as possible. The distance
between the knees of the dummy shall be 210mm ± 5mm when measured at the
outside metal surface of the knees. The femur and tibia for each leg shall be as
close as possible to a vertical plane.
Driver - When the left foot is placed on a footrest or the right foot is positioned
onto the accelerator pedal as described below, the distance between the knees
may be altered.
Rear Passenger - The legs shall be positioned as far as possible from the front
end of the rear seat cushion while the thighs are kept in contact with the seat
cushion.
Each leg shall be lowered until the foot comes into contact with the floor while the
foot and tibia are kept in a right angle to one another, the thigh inclination angle | | |",injury,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.3.1,Article 2.3.1 > Clause 2.3.1 — Dummy Placement,Table (p.13),False,50948a83-148d-4ec1-a774-a787a9989164
"Article 2.3.2 > Clause 2.3.2 — HIII 5 th percentile
Table
| | | | | | |
|---|---|---|---|---|---|
| | Dummy part | | | Required setting | |
| | | | | | |
| | | | shall remain constant. | | |
| Feet | | | Driver - One foot shall be placed on the undepressed accelerator pedal with the
heel on the floor overlapping the accelerator pedal by at least 20mm.
When this is not the case and the seat is not in the foremost fore/aft position, move
the seat forward until sufficient contact between right foot and accelerator pedal
can be achieved.
When it is not possible to achieve sufficient contact, follow the FMVSS 208 small
female seating positioning procedure, where a support block is used to ensure
contact with the pedal and floor. There must be no movement of the support block.
If the right knee has been moved in order to place the right foot on the accelerator
pedal, move the left knee and foot an equal distance so that the legs are
symmetrical.
The left foot should be placed as flat as possible on the toe-board parallel to the
centre line of the vehicle. If any part of the left foot is in contact with a footrest or
wheel arch when in this position then place the foot fully on this rest providing a
normal seating position can still be achieved. Keep the legs in the same vertical
longitudinal plane. The knee gap requirement may be ignored in this case.
Passenger - Placed with the heel as far forwards as possible and then the feet as
flat as possible. Both feet shall be parallel to the centreline of the vehicle.
Rear Passenger - When each heel is in contact with the floor, the foot shall be
rotated so that the toe comes as much in contact as possible with the floor.
If it is not possible to have each foot in contact with the floor, the foot shall be
lowered until the calf comes in contact with the front end of the seat cushion or
the back of the foot comes in contact with the vehicle interior. The foot shall be
kept as parallel as possible to the floor.
In case of interference by front seat anchorages or by a vehicle body protrusion,
the foot shall be rotated as minimally as possible around the tibia. In case
interference remains, the femur shall be rotated to resolve or minimize the
interference. The foot shall be moved inward or outward while the separation
distance between the knees is kept constant.
In case of significant interference by the front seat in its test position or by a vehicle
body protrusion, the leg shall be moved toward the occupant side by lifting and
keeping the thigh as much in contact as possible with the rear seat cushion.
Finalisation of torso position and readjustment of foot position (if any)
After manipulation of the lower limbs, the dummy position has to be reconfirmed
in accordance with the H-point tolerances, pelvic angle and head angle. Any foot
displacement during the final positioning of the torso should be undone. | | |",injury,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,2.3.2,Article 2.3.2 > Clause 2.3.2 — HIII 5 th percentile,Table (p.14),False,f6ce06c3-cdfc-46be-a69a-36bc5754a17a
